,uid
1191,14076.0
1192,13773.0
1193,13839.0
1194,14025.0
1195,14092.0
1196,14029.0
1197,14090.0
1198,13710.0
1199,13770.0
1200,13533.0
1201,13585.0
1202,13296.0
1203,13369.0
1204,13306.0
1205,13370.0
1206,13629.0
1207,10861.0
1208,10882.0
1209,12870.0
1210,12940.0
1211,12865.0
1212,12931.0
1213,13190.0
1214,13392.0
1215,13196.0
1216,13241.0
1217,12698.0
1218,12755.0
1219,12766.0
1220,20614.0
1221,13849.0
1222,13904.0
1223,14231.0
1224,14254.0
1225,13738.0
1226,13774.0
1227,12343.0
1228,12365.0
1229,12804.0
1230,12735.0
1231,13012.0
1232,13045.0
1233,13098.0
1234,13026.0
1235,13059.0
1236,12861.0
1237,12890.0
1238,13043.0
1239,13069.0
1240,13669.0
1241,13706.0
1242,18021.0
1243,18093.0
1244,18379.0
1245,17769.0
1246,17680.0
1247,17271.0
1248,16869.0
1249,16346.0
1250,16431.0
1251,16157.0
1252,16256.0
1253,15699.0
1254,15711.0
1255,15379.0
1256,15375.0
1257,19077.0
1258,19165.0
1259,19398.0
1260,19447.0
1261,19307.0
1262,19359.0
1263,19623.0
1264,19687.0
1265,19790.0
1266,19920.0
1267,20039.0
1268,20110.0
1269,19961.0
1270,20052.0
1271,20187.0
1272,20269.0
1273,20147.0
1274,20306.0
1275,20179.0
1276,20216.0
1277,20337.0
1278,20239.0
1279,20380.0
1280,31646.0
1281,31655.0
1282,31321.0
1283,31351.0
1284,31677.0
1285,31708.0
1286,31715.0
1287,31716.0
1288,31714.0
1289,31964.0
1290,31988.0
1291,31956.0
1292,31985.0
1293,31993.0
1294,31703.0
1295,31724.0
1296,31249.0
1297,31259.0
1298,30817.0
1299,30837.0
1300,30380.0
1301,30398.0
1302,32160.0
1303,32172.0
1304,30025.0
1305,30061.0
1306,29728.0
1307,29843.0
1308,29848.0
1309,29452.0
1310,29492.0
1311,29097.0
1312,29137.0
1313,29006.0
1314,29051.0
1315,28633.0
1316,28544.0
1317,27502.0
1318,27545.0
1319,27301.0
1320,27316.0
1321,34104.0
1322,35572.0
1323,35627.0
1324,35510.0
1325,35554.0
1326,35479.0
1327,35455.0
1328,35477.0
1329,35635.0
1330,35716.0
1331,35759.0
1332,35781.0
1333,35828.0
1334,35847.0
1335,35868.0
1336,8715.0
1337,8815.0
1338,8679.0
1339,8777.0
1340,8813.0
1341,8854.0
1342,8843.0
1343,8888.0
1344,8985.0
1345,9029.0
1346,9004.0
1347,9071.0
1348,9172.0
1349,9180.0
1350,9080.0
1351,9170.0
1352,9076.0
1353,9167.0
1354,9090.0
1355,9179.0
1356,9061.0
1357,9014.0
1358,8730.0
1359,8745.0
1360,7920.0
1361,7485.0
1362,7584.0
1363,7650.0
1364,7666.0
1365,7713.0
1366,7788.0
1367,7821.0
1368,8071.0
1369,8100.0
1370,8220.0
1371,8256.0
1372,8483.0
1373,8527.0
1374,8582.0
1375,8611.0
1376,8937.0
1377,8979.0
1378,9024.0
1379,9073.0
1380,9717.0
1381,9752.0
1382,9819.0
1383,9861.0
1384,10035.0
1385,10073.0
1386,10139.0
1387,10181.0
1388,10493.0
1389,10543.0
1390,10835.0
1391,10865.0
1392,11086.0
1393,11096.0
1394,10998.0
1395,11078.0
1396,12732.0
1397,10809.0
1398,10848.0
1399,10526.0
1400,10910.0
1401,10963.0
1402,4778.0
1403,4776.0
1404,4264.0
1405,4283.0
1406,4583.0
1407,5043.0
1408,6703.0
1409,7058.0
1410,7311.0
1411,7194.0
1412,7362.0
1413,4564.0
1414,4673.0
1415,4941.0
1416,5036.0
1417,5304.0
1418,5365.0
1419,5484.0
1420,5693.0
1421,5791.0
1422,6082.0
1423,6177.0
1424,6045.0
1425,6156.0
1426,5850.0
1427,6007.0
1428,5348.0
1429,5443.0
1430,5273.0
1431,4695.0
1432,4410.0
1433,4194.0
1434,9036.0
1435,9484.0
1436,9488.0
1437,9472.0
1438,10408.0
1439,10219.0
1440,10129.0
1441,10354.0
1442,10070.0
1443,4343.0
1444,4455.0
1445,4270.0
1446,4376.0
1447,3876.0
1448,3176.0
1449,3256.0
1450,2981.0
1451,3018.0
1452,2958.0
1453,2993.0
1454,2039.0
1455,2058.0
1456,3118.0
1457,3158.0
1458,700.0
1459,711.0
1460,626.0
1461,624.0
1462,631.0
1463,571.0
1464,577.0
1465,559.0
1466,566.0
1467,496.0
1468,516.0
1469,440.0
1470,455.0
1471,29977.0
1472,30526.0
1473,30575.0
1474,30658.0
1475,30694.0
1476,30840.0
1477,31005.0
1478,31029.0
1479,31161.0
1480,31225.0
1481,31428.0
1482,31440.0
1483,30413.0
1484,30467.0
1485,30313.0
1486,30336.0
1487,30279.0
1488,30337.0
1489,29917.0
1490,29963.0
1491,35730.0
1492,35566.0
1493,35569.0
1494,35424.0
1495,35444.0
1496,16944.0
1497,17214.0
1498,17167.0
1499,17426.0
1500,17391.0
1501,17505.0
1502,17177.0
1503,16635.0
1504,16859.0
1505,37299.0
1506,24828.0
1507,24884.0
1508,828.0
1509,13018.0
1510,13200.0
1511,13570.0
1512,13739.0
1513,13138.0
1514,12512.0
1515,12575.0
1516,8353.0
1517,31809.0
1518,31840.0
1519,709.0
1520,717.0
1521,18025.0
1522,17948.0
1523,17552.0
1524,17624.0
1525,17344.0
1526,17415.0
1527,15910.0
1528,15775.0
1529,15394.0
1530,15525.0
1531,15284.0
1532,15422.0
1533,14684.0
1534,14771.0
1535,16876.0
1536,16953.0
1537,16488.0
1538,16580.0
1539,16366.0
1540,16457.0
1541,16012.0
1542,16092.0
1543,18181.0
1544,18300.0
1545,18007.0
1546,18108.0
1547,17604.0
1548,17720.0
1549,18630.0
1550,18522.0
1551,18652.0
1552,18749.0
1553,19000.0
1554,19116.0
1555,22729.0
1556,751.0
1557,760.0
1558,973.0
1559,1025.0
1560,1024.0
1561,1042.0
1562,1092.0
1563,1096.0
1564,1664.0
1565,2726.0
1566,2762.0
1567,24214.0
1568,24272.0
1569,30885.0
1570,30873.0
1571,15054.0
1572,15086.0
1573,15230.0
1574,13397.0
1575,13665.0
1576,13479.0
1577,13462.0
1578,13042.0
1579,12873.0
1580,13010.0
1581,25848.0
1582,30306.0
1583,30307.0
1584,30292.0
1585,30141.0
1586,30133.0
1587,30153.0
1588,30222.0
1589,30095.0
1590,29384.0
1591,29399.0
1592,30041.0
1593,1588.0
1594,1449.0
1595,30067.0
1596,30091.0
1597,30129.0
1598,30134.0
1599,30202.0
1600,30251.0
1601,30043.0
1602,1479.0
1603,1675.0
1604,30655.0
1605,30830.0
1606,30611.0
1607,30646.0
1608,30539.0
1609,30573.0
1610,30410.0
1611,30441.0
1612,30475.0
1613,30308.0
1614,30352.0
1615,30536.0
1616,30570.0
1617,30630.0
1618,30698.0
1619,30716.0
1620,30205.0
1621,30225.0
1622,29205.0
1623,29235.0
1624,29392.0
1625,29411.0
1626,29507.0
1627,30634.0
1628,30652.0
1629,30731.0
1630,30736.0
1631,30960.0
1632,31003.0
1633,31019.0
1634,30239.0
1635,30299.0
1636,30408.0
1637,30428.0
1638,30527.0
1639,30497.0
1640,31132.0
1641,31172.0
1642,31335.0
1643,31085.0
1644,31303.0
1645,31330.0
1646,31498.0
1647,31533.0
1648,31563.0
1649,31801.0
